"mPFC.NA","mPFC.DOPAC","mPFC.DA","mPFC.5_HIAA","mPFC.HVA","mPFC.5_HT","mPFC.3_MT","Nacc.NA","Nacc.DOPAC","Nacc.DA","Nacc.5_HIAA","Nacc.HVA","Nacc.5_HT","Nacc.3_MT","Cpu.NA","Cpu.DOPAC","Cpu.DA","Cpu.5_HIAA","Cpu.HVA","Cpu.5_HT","Cpu.3_MT","Hipp.NA","Hipp.DOPAC","Hipp.DA","Hipp.5_HIAA","Hipp.HVA","Hipp.5_HT","Amyg.NA","Amyg.DOPAC","Amyg.DA","Amyg.5_HIAA","Amyg.HVA","Amyg.5_HT","Amyg.3_MT","VTA.NA","VTA.DOPAC","VTA.DA","VTA.5_HIAA","VTA.HVA","VTA.5_HT","VTA.3_MT","mPFC.Taurine","mPFC.Gln","mPFC.Gly","mPFC.Asp","mPFC.Glu","mPFC.Ala","mPFC.GABA","Nacc.Taurine","Nacc.Gln","Nacc.Gly","Nacc.Asp","Nacc.Glu","Nacc.Ala","Nacc.GABA","Cpu.Taurine","Cpu.Gln","Cpu.Gly","Cpu.Asp","Cpu.Glu","Cpu.Ala","Cpu.GABA","Hipp.Taurine","Hipp.Gln","Hipp.Gly","Hipp.Asp","Hipp.Glu","Hipp.Ala","Hipp.GABA","Amyg.Taurine","Amyg.Gln","Amyg.Gly","Amyg.Asp","Amyg.Glu","Amyg.Ala","Amyg.GABA","VTA.Taurine","VTA.Gln","VTA.Gly","VTA.Asp","VTA.Glu","VTA.Ala","VTA.GABA","yIsolation","yEncounter","yEncounterLength","yUSV"
336.7165217391,78.9739130435,160.867826087,227.8852173913,131.92,239.08,0,1832.6509090909,1082.0745454546,5146.2127272728,511.0963636364,545.2127272727,583.5109090909,113.2436363636,67.0301123596,1676.6238202247,9418.0988764046,355.8350561798,916.9321348315,251.993258427,260.6453932584,342.2335135135,27.4783783784,51.1637837838,455.6627027027,23.7016216216,209.8816216216,680.2261538462,197.46,965.4153846154,501.9384615385,77.2323076923,548.4015384615,20.8553846154,618.2244444444,459.62,1369.0444444445,600.3733333333,266.4866666667,691.6155555556,17.6444444444,6.107826087,3.6486956522,0.7217391304,2.5286956522,11.2939130435,0.4695652174,1.5791304348,4.9163636364,4.0890909091,0.6909090909,2.1,6.8709090909,0.4163636364,7.2254545455,7.5262921348,4.2728089888,0.6202247191,1.4966292135,8.0143820225,0.517752809,1.7865168539,5.4908108108,3.1443243243,0.6762162162,1.4935135135,7.5243243243,0.7005405405,1.8291891892,4.1461538462,3.7707692308,0.6015384615,1.8969230769,8.1,0.4276923077,3.6353846154,2.1977777778,2.5577777778,0.7844444444,1.4911111111,3.92,0.2844444444,3.3444444444,"Isolation","Control","None",1
336.2347826087,66.1434782609,70.5913043478,338.4469565217,102.8739130435,134.6086956522,24.9391304348,1070.2643478261,1082.1095652174,6959.5582608696,462.9756521739,591.4452173913,563.3373913043,248.612173913,75.7631460674,1254.1442696629,11650.8930337078,331.1986516854,950.1168539326,254.6764044944,485.0629213483,324.7549090909,23.2429090909,22.9756363636,496.3669090909,10.2283636364,250.6701818182,587.76,158.0283333333,1202.1066666667,518.7283333333,74.9983333333,693.6233333333,68.6883333333,549.2876470588,397.3605882353,1283.5094117647,286.6817647059,198.7111764706,408.9705882353,49.6835294118,5.6008695652,3.7408695652,0.8713043478,2.2460869565,11.4913043478,0.5269565217,1.7243478261,4.692173913,4.4956521739,0.6956521739,1.8852173913,7.4347826087,0.4939130435,4.48,7.6382022472,4.7191011236,0.6417977528,1.5964044944,9.0323595506,0.5797752809,1.9240449438,4.4727272727,3.2509090909,0.7134545455,1.4912727273,7.8327272727,0.624,1.7858181818,4.94,4.5966666667,0.7533333333,2.1733333333,10.5083333333,0.54,3.0283333333,1.9905882353,2.4864705882,0.7270588235,1.4858823529,3.7605882353,0.3,3.4905882353,"Isolation","Control","None",29
415.02375,58.861875,147.234375,213.568125,91.8075,264.699375,18.2625,3432.8311764706,613.1364705882,1945.5335294118,463.4788235294,203.9841176471,777.7270588235,37.6782352941,79.8957446809,1039.2472340426,10536.9446808511,445.630212766,780.7378723404,401.4663829787,384.665106383,329.804,19.752,16.2773333333,493.4013333333,25.5506666667,309.4226666667,562.3969230769,73.9446153846,659.0569230769,413.9384615385,38.5030769231,953.9153846154,25.9661538462,675.552,433.6128,1565.0256,388.9752,230.2992,516.4344,59.88,6.68625,4.250625,0.856875,2.46375,13.02,0.6075,2.079375,3.5823529412,3.63,0.7323529412,1.9394117647,6.7023529412,0.3829411765,9.5382352941,7.4361702128,4.3480851064,0.6038297872,1.4323404255,8.7331914894,0.6280851064,2.029787234,4.7266666667,3.152,0.7133333333,1.336,7.5826666667,0.6613333333,2.0146666667,4.4907692308,4.1923076923,0.7276923077,1.9384615385,9.8738461538,0.5492307692,3.3353846154,2.1888,2.7,0.816,1.548,4.5144,0.2952,4.488,"Isolation","Control","None",18
336.9655384615,58.8756923077,125.9575384615,251.4166153846,132.2067692308,217.1206153846,0,3144.06,718.1327272727,4837.4436363636,627.0763636364,486.1327272727,739.2545454545,137.5127272727,76.3690909091,1055.1913636364,12099.8986363636,419.9372727273,892.815,343.8490909091,415.1440909091,408.0864864865,16.7708108108,90.56,467.8194594595,18.107027027,290.8659459459,614.7109090909,108.4513636364,1097.8854545455,413.5677272727,62.6563636364,818.6495454546,45.6436363636,832.7408,434.92,1587.3632,619.496,260.0448,701.08,54.3808,5.688,3.4947692308,0.7716923077,2.1987692308,11.4424615385,0.5224615385,1.8443076923,4.2381818182,3.7854545455,0.6581818182,1.9163636364,6.5690909091,0.3781818182,8.5509090909,7.7127272727,4.6595454545,0.5890909091,1.5109090909,8.9972727273,0.5768181818,2.1559090909,4.8291891892,3.0583783784,0.5945945946,1.3437837838,7.4194594595,0.6281081081,1.892972973,3.9136363636,3.5713636364,0.495,1.5913636364,8.2159090909,0.4022727273,2.865,1.9184,2.5936,0.8224,1.5328,4.32,0.2592,4.1232,"Isolation","Control","None",70
255.3620338983,88.7613559322,65.5749152542,305.4691525424,93.3701694915,117.2522033898,0,845.5898507463,2168.0417910448,5960.9391044776,584.1331343284,670.6101492537,467.9498507463,167.3014925373,60.812195122,2188.8219512195,7780.7590243903,374.2346341463,841.1019512195,217.1092682927,326.9502439024,237.9302857143,19.2697142857,8.728,567.4411428571,18.5771428571,287.7097142857,487.8185915493,343.4112676056,584.9729577465,720.4985915493,85.3774647887,376.5718309859,37.9166197183,438.9338461539,399.7338461539,839.2953846154,555.8923076923,196.3261538462,413.9784615385,68.6892307692,4.7186440678,3.4413559322,0.8074576271,1.7877966102,9.9722033898,0.526779661,1.6311864407,4.68,5.3695522388,0.8471641791,1.8591044776,8.0937313433,0.6698507463,4.5886567164,6.4697560976,4.3917073171,0.6014634146,1.3317073171,7.6770731707,0.6073170732,1.6112195122,3.8297142857,3.288,0.7611428571,1.2948571429,7.0811428571,0.5782857143,1.6377142857,4.3250704225,4.6309859155,0.7014084507,1.8878873239,9.7233802817,0.5256338028,3.4884507042,1.7230769231,2.4969230769,0.7107692308,1.2538461538,3.3984615385,0.2846153846,2.5523076923,"Isolation","Control","None",139
267.8057142857,112.275,62.8414285714,300.2292857143,102.3364285714,87.0342857143,0,2368.761,1307.178,1762.5435,809.802,386.229,427.71,60.873,84.4551219512,2292.1170731707,7576.3302439025,381.6029268293,815.6795121951,224.5214634146,297.4609756098,218.1364705882,21.5964705882,6.2376470588,423.8305882353,13.2952941176,126.5976470588,294.7242352941,394.7562352941,913.9454117647,546.4715294118,111.3797647059,417.5534117647,45.2936470588,460.3913043478,384.88,778.7408695652,313.1026086957,202.2382608696,295.9634782609,52.3982608696,5.3785714286,2.97,0.9514285714,1.7078571429,9.9771428571,0.5892857143,1.6692857143,3.786,3.6465,0.783,2.1585,5.964,0.4125,6.984,7.9624390244,4.8863414634,0.7390243902,1.6126829268,9.4697560976,0.7448780488,2.0619512195,5.4117647059,3.2047058824,0.7117647059,1.4905882353,8.2082352941,0.7364705882,1.9247058824,3.9967058824,3.4305882353,0.6014117647,1.5303529412,7.752,0.4404705882,2.3590588235,1.9165217391,2.2660869565,0.8173913043,1.4956521739,3.7652173913,0.2852173913,2.7791304348,"Isolation","Control","None",22
261.679245283,75.8649056604,54.7630188679,270.0724528302,76.7275471698,210.7539622642,0,1746.9573913043,2377.6747826087,7229.5304347825,615.8869565217,931.4530434783,633.952173913,167.392173913,0,1599.5684210526,13316.5789473681,500.9389473684,1444.6821052631,361.1852631579,379.6947368421,388.9381818182,17.9454545455,9.8545454545,329.6581818182,22.7236363636,102.0363636364,703.196043956,285.1173626374,1905.2162637363,631.5375824176,170.8694505495,833.1217582418,54.6857142857,1004.769,726.429,2056.635,697.041,366.369,807.708,55.893,5.6490566038,3.1358490566,0.7698113208,1.9788679245,11.3026415094,0.5230188679,1.6664150943,7.1269565217,6.292173913,1.0591304348,2.76,11.9008695652,0.772173913,7.987826087,11.0442105263,5.3136842105,0.9094736842,1.8252631579,12.1705263158,0.9157894737,2.6652631579,6.5818181818,3.5709090909,1.1490909091,1.6654545455,9.7090909091,0.9563636364,3.28,6.0896703297,5.0505494505,0.8848351648,2.5661538462,12.6026373626,0.6474725275,5.4712087912,2.55,3.174,1.338,2.28,6.279,0.372,7.056,"Control","Encounter","Short",226
388.2137704918,57.5744262295,87.3718032787,172.182295082,90.7062295082,191.0380327869,0,393.2006557377,1637.8760655738,8063.5357377051,376.6681967213,955.4124590164,421.1881967213,194.5101639344,0,1210.1709090909,10884.9806060607,304.4715151515,1027.5272727273,241.3163636364,290.1721212121,422.9389830508,8.7661016949,20.4752542373,294.6183050847,13.5050847458,217.4949152542,655.5952,241.8784,1823.0912,646.784,136.8272,851.7328,51.1632,434.544,11.649,57.936,506.457,39.252,322.926,0,6.5744262295,3.7140983607,0.8891803279,2.0931147541,12.6924590164,0.5567213115,1.7370491803,7.0445901639,6.393442623,0.9875409836,2.3055737705,11.5731147541,0.8360655738,3.017704918,7.88,4.2375757576,0.6278787879,1.456969697,9.1321212121,0.6545454545,1.7903030303,6.6101694915,3.5145762712,0.8196610169,1.6820338983,10.033220339,0.8074576271,2.1538983051,5.688,5.0176,0.744,2.5616,11.8352,0.592,4.272,1.44,2.103,1.029,1.779,5.553,0.303,0.804,"Control","Encounter","Short",159.5
367.0347540984,69.0531147541,112.0308196721,241.8806557377,100.3613114754,214.7862295082,0,784.3313207547,2026.4626415094,10243.9494339623,565.7728301887,1272.1698113208,609.0135849057,216.1132075472,0,1385.2735483871,12681.477419355,305.6670967742,1205.0077419355,194.4090322581,351.9187096774,401.1336986301,6.2087671233,26.0317808219,358.4712328767,19.2197260274,222.3484931507,631.9784210526,200.0036842105,1439.5215789474,570.2794736842,121.8963157895,870.27,40.7715789474,998.4685714286,708.8468571428,2089.6594285714,815.7874285714,376.92,924.4902857143,52.9405714286,6.5331147541,3.9009836066,0.9127868852,2.2937704918,13.2314754098,0.6216393443,1.7744262295,8.6988679245,7.3381132075,1.2090566038,2.9750943396,14.0105660377,1.000754717,5.9388679245,8.6890322581,4.2916129032,0.6683870968,1.5625806452,9.9496774194,0.7238709677,2.0361290323,7.0832876712,4.1506849315,1.242739726,2.0367123288,11.4805479452,0.9698630137,2.5282191781,6.2778947368,5.2042105263,0.7973684211,2.7315789474,13.3405263158,0.6457894737,4.2994736842,2.232,2.9074285714,1.2788571429,2.16,5.7462857143,0.3017142857,5.1188571429,"Control","Encounter","Short",159.5
431.031,81.834,155.736,404.85,117.585,365.76,0,807.9268085106,1926.4774468085,8831.6910638297,536.3387234043,957.96,584.88,174.8859574468,0,1478.3140909091,12924.405,381.1404545455,1272.0068181818,254.9740909091,313.9922727273,359.585,6.7516666667,16.92,279.165,0,181.8466666667,518.2428,394.0608,862.8072,716.2728,98.6928,578.238,24.48,1234.86,720.8685714286,2013.0971428572,955.5857142857,429.2342857143,990.0914285714,41.9228571429,7.65,4.704,1.206,2.757,15.66,0.732,2.175,7.2944680851,6.4953191489,1.0544680851,2.7063829787,12.1838297872,0.845106383,5.394893617,7.995,4.0363636364,0.6381818182,1.5068181818,9.3368181818,0.6436363636,1.9227272727,6.12,3.635,0.9283333333,1.805,9.6983333333,0.8033333333,2.3866666667,5.6052,4.9992,0.816,2.5944,12.1752,0.606,3.8412,2.5371428571,3.3114285714,1.4514285714,2.6942857143,6.9,0.3228571429,4.02,"Control","Encounter","Short",114
